platform,price_month,avg_monthly_price,min_price,max_price,total_price_updates
PS,2024-11-01,5.38,0.49,69.99,1190
PS,2024-12-01,6.87,0.49,69.99,8908
PS,2025-01-01,8.8,0.49,69.99,9471
PS,2025-02-01,13.36,0.19,99.99,26656
Steam,2024-11-01,5.94,0.49,999.98,155377
Steam,2024-12-01,7.08,0.49,999.98,1163801
Steam,2025-01-01,8.67,0.49,999.98,1243487
Steam,2025-02-01,9.1,0.19,999.98,934815
Xbox,2024-11-01,5.2,0.49,69.99,526
Xbox,2024-12-01,7.25,0.49,99.99,3945
Xbox,2025-01-01,9.76,0.49,99.99,4196
Xbox,2025-02-01,15.83,0.49,109.99,17567